	item	RT	ACC	literate	number	list	pp	subject
1	A11.jpg	18.2445677	0.0	low	1	a	low_1	01
2	B12.jpg	56.64332823	0.0	low	1	a	low_1	01
3	C4.jpg	18.87746856	0.0	low	1	a	low_1	01
4	C12.jpg	11.29259001	0.0	low	1	a	low_1	01
5	D7.jpg	19.14515129	0.0	low	1	a	low_1	01
6	D12.jpg	18.84955175	0.0	low	1	a	low_1	01
7	E1.jpg	13.71406319	1.0	low	1	a	low_1	01
8	E5.jpg	11.14213771	0.0	low	1	a	low_1	01
9	E7.jpg	23.26414642	1.0	low	1	a	low_1	01
1	A10.jpg	11.802328936204505	0.0	low	1	b	low_1	01
2	B4.jpg	13.237852649015622	1.0	low	1	b	low_1	01
3	B9.jpg	12.306180915802546	1.0	low	1	b	low_1	01
4	C6.jpg	16.541160991351713	0.0	low	1	b	low_1	01
5	C10.jpg	9.062124415781	0.0	low	1	b	low_1	01
6	D8.jpg	10.56436039552318	0.0	low	1	b	low_1	01
7	E2.jpg	10.262567964788103	1.0	low	1	b	low_1	01
8	E4.jpg	3.3928751749517687	0.0	low	1	b	low_1	01
9	E9.jpg	6.923277691827026	0.0	low	1	b	low_1	01
1	A11.jpg	45.84593742984725	1.0	y	2	a	y_2	02
2	B12.jpg	21.987505176629387	1.0	y	2	a	y_2	02
3	C4.jpg	40.56423883083971	1.0	y	2	a	y_2	02
4	C12.jpg	26.044149456483865	0.0	y	2	a	y_2	02
5	D7.jpg	21.08906355482759	1.0	y	2	a	y_2	02
6	D12.jpg	30.548314262536227	0.0	y	2	a	y_2	02
7	E1.jpg	10.542597075477717	1.0	y	2	a	y_2	02
8	E5.jpg	21.00567463941934	0.0	y	2	a	y_2	02
9	E7.jpg	19.294871348095512	1.0	y	2	a	y_2	02
1	A10.jpg	32.173050163260996	0.0	y	2	b	y_2	02
2	B4.jpg	7.307526636847798	1.0	y	2	b	y_2	02
3	B9.jpg	10.48818107626903	1.0	y	2	b	y_2	02
4	C6.jpg	16.739244564641012	1.0	y	2	b	y_2	02
5	C10.jpg	28.154253831921782	0.0	y	2	b	y_2	02
6	D8.jpg	17.896967447409228	1.0	y	2	b	y_2	02
